Feb 26 17:18:32.953 [notice] Tor 0.3.1.7 (git-6babd3d9ba9318b3) running on Windows 7 with Libevent 2.0.22-stable, OpenSSL 1.0.2k, Zlib 1.2.8, Liblzma N/A, and Libzstd N/A.
Feb 26 17:18:32.954 [notice] Tor can't help you if you use it wrong! Learn how to be safe at https://www.torproject.org/download/download#warning
Feb 26 17:18:32.969 [notice] Configuration file "C:\Users\massivedesign\AppData\Roaming\tor\torrc" not present, using reasonable defaults.
Feb 26 17:18:32.973 [warn] You specified a public address '0.0.0.0:9050' for SocksPort. Other people on the Internet might find your computer and use it as an open proxy. Please don't allow this unless you have a good reason.
Feb 26 17:18:32.973 [warn] Path for GeoIPFile (Tor/geoip) is relative and will resolve to C:\Users\massivedesign\CloudStation\PySaBot\ipchanger\Tor\geoip. Is this what you wanted?
Feb 26 17:18:32.973 [warn] Path for GeoIPv6File (Tor/geoip6) is relative and will resolve to C:\Users\massivedesign\CloudStation\PySaBot\ipchanger\Tor\geoip6. Is this what you wanted?
Feb 26 17:18:32.973 [warn] Path for DataDirectory (Data/tordata0) is relative and will resolve to C:\Users\massivedesign\CloudStation\PySaBot\ipchanger\Data\tordata0. Is this what you wanted?
Feb 26 17:18:32.974 [notice] Wow!  I detected that you have 32 CPUs. I will not autodetect any more than 16, though.  If you want to configure more, set NumCPUs in your torrc
Feb 26 17:18:32.975 [warn] You specified a public address '0.0.0.0:9050' for SocksPort. Other people on the Internet might find your computer and use it as an open proxy. Please don't allow this unless you have a good reason.
Feb 26 17:18:32.975 [notice] Opening Socks listener on 0.0.0.0:9050
Feb 26 17:18:32.975 [notice] Opening DNS listener on 127.0.0.1:53
Feb 26 17:18:32.975 [notice] Opening Control listener on 127.0.0.1:15000
Feb 26 17:18:32.000 [notice] Parsing GEOIP IPv4 file Tor/geoip.
Feb 26 17:18:33.000 [notice] Parsing GEOIP IPv6 file Tor/geoip6.
Feb 26 17:18:33.000 [notice] Bootstrapped 0%: Starting
Feb 26 17:18:34.000 [notice] Starting with guard context "default"
Feb 26 17:18:34.000 [notice] Bootstrapped 80%: Connecting to the Tor network
Feb 26 17:18:38.000 [notice] Bootstrapped 85%: Finishing handshake with first hop
Feb 26 17:18:38.000 [notice] Bootstrapped 90%: Establishing a Tor circuit
Feb 26 17:29:22.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:29:42.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:30:02.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:30:22.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:30:42.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:31:02.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:31:22.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:31:42.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:32:02.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:32:22.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:32:42.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:33:02.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:33:22.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:33:42.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:34:02.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:34:22.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:34:43.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:35:03.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:35:23.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:35:43.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:36:03.000 [notice] New control connection opened from 127.0.0.1.
Feb 26 17:36:08.000 [notice] Have tried resolving or connecting to address '[scrubbed]' at 3 different places. Giving up.
Feb 26 17:36:23.000 [notice] New control connection opened from 127.0.0.1.
